Timestamp,Location (city name or district name),Gender,Age (in years),What is the highest level of education you have completed?,What would best describe a wellness/fitness routine you follow or are likely to follow?,Which of the followings would best describe the main challenge you face that restricts you from following a regular wellness/fitness routine? (you can choose more than one option),How often do you follow a wellness/fitness routine?,"Whenever you practice your wellness/fitness routine, how much time on average do you spend (in minutes)?",Which of the following would best describe your purpose to follow a wellness/fitness routine?,Your general place of wellness/fitness routine is,Do you look for simple and target specific-exercises ?,"In your opinion, how important is following a well-balanced nutrition diet routine along with a wellness/fitness routine?",Which of the followings would best describe the main challenge(s) you face that restrict you from following a well-balanced nutrition diet routine? (you can choose more than one option),How likely would you be to try a remote/online mode of training for your wellness/fitness routine?,What would best describe the challenge(s) to use an online wellness/fitness service as a mainstream method to achieve your wellness/fitness goals? (you can choose more than one option),How much would you be willing to pay for such an online wellness/fitness training service (INR/month)?,"If you were to subscribe such an online  wellness/fitness training service, what would describe the ideal subscription cycle for you?",Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Price of service],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Expertise credibility of the trainer(s)],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Language of training/practice instructions in your regional language as compared to English?],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Flexibility of choosing different time slots for training/practice on different days],Please rate your preferences for each of the following criteria while choosing a wellness/fitness service provider [Availability of hybrid options for training/practice (ability to choose online and offline training session as per my convenience)]
11-8-2022 18:34:42,Navi Mumbai ,Male,18-24,Masters / Post-Graduate degree,Yoga & breathing exercises,Lack of motivation / time,Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,5,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am not interested to try,I don’t think online training is effective,Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Not important at all,Not so important,Not so important,Not important at all,Not important at all
11-8-2022 18:40:01,Indore,Female,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,4,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I have already tried,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 1000-2500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Neutral,Very Important,Important,Very Important,Very Important
11-8-2022 18:40:41,k,Female,More than 55,Undergraduate degree,I don't follow any wellness/fitness routine,Don't know where and how to start,4 to 5 days a week,31-45,Body building,Home - with equipment,2,3,Can't cook at home,I am interested to try out,I don't want to invest in buying any accessories at home,Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Not so important,Not so important,Not so important,Not important at all
11-8-2022 18:41:02,Mumbai ,Female,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Lack of motivation / time,Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Home - without equipment,3,5,Temptation for junk food,I may try only if I find something very interesting,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Important,Important,Very Important
11-8-2022 18:44:23,mumbai,Male,18-24,College diploma / Certificate,Meditation/Mindfulness practice,I follow a regular wellness/fitness routine,Daily,15-30,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,5,3,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Very Important,Very Important,Very Important,Very Important,Very Important
11-8-2022 18:44:54,Mumbai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,31-45,Body building,Home - with equipment,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Not so important,Important,Important,Neutral
11-8-2022 18:45:34,Mumbai,Male,18-24,High school,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,5,5,I follow a balanced diet routine,I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Very Important,Important,Very Important,Very Important
11-8-2022 18:45:48,Mumbai,Male,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Can't find a good trainer/expert practitioner, Lack of motivation / time",4 to 5 days a week,31-45,Weight loss/gain,Gym / Studio,4,4,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 2500-5000,Annual subscription with price discount benefits,Important,Neutral,Important,Neutral,Important
11-8-2022 18:50:47,Mumbai,Male,18-24,High school,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,31-45,Weight loss/gain,Home - without equipment,3,5,Find it too difficult to follow a routine,I am interested to try out,2,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Very Important,Very Important,Very Important,Very Important
11-8-2022 18:53:06,Mumbai ,Female,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)",Don't know where and how to start,Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,5,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food",I have already tried,I don't want to invest in buying any accessories at home,Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Very Important,Very Important,Very Important
11-8-2022 18:53:18,Mumbai,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",Unavailability of a good gym/classes nearby,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,3,3,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits",I am not interested to try,"I don’t think online training is effective, I don't want to invest in buying any accessories at home",Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Important,Important,Important,Important,Important
11-8-2022 19:09:28,Mumbai ,Female,18-24,Undergraduate degree,Yoga & breathing exercises,Lack of motivation / time,Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Gym / Studio,3,4,Find it too difficult to follow a routine,I may try only if I find something very interesting,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 500 - 1000,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Important,Important,Important,Very Important,Important
11-8-2022 19:14:15,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Gym / Studio,1,5,I follow a balanced diet routine,I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Rs. 2500-5000,Annual subscription with price discount benefits,Not so important,Very Important,Neutral,Neutral,Neutral
11-8-2022 19:24:10,Mumbai,Male,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,Less than 15,Weight loss/gain,Home - with equipment,1,5,I follow a balanced diet routine,I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Not so important,Very Important,Not so important,Very Important,Important
11-8-2022 19:25:18,Vasai,Male,18-24,Undergraduate degree,Yoga & breathing exercises,"Don't know where and how to start, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - without equipment,5,5,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits",I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Weekly subscription at a price slightly higher than monthly subscription,Very Important,Important,Not so important,Very Important,Very Important
11-8-2022 19:35:25,Mumbai,Male,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,"Don't know where and how to start, Lack of motivation / time",Occasionally / Rarely,15-30,General fitness/strength/flexibility/stamina,Gym / Studio,3,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,I don't want to invest in buying any accessories at home,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Very Important,Important,Neutral,Important,Not so important
11-8-2022 19:40:06,Mumbai,Male,18-24,Undergraduate degree,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,Less than 15,Weight loss/gain,Home - without equipment,3,4,Temptation for junk food,I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Neutral,Very Important,Not so important,Very Important,Very Important
11-8-2022 19:47:27,Mumbai ,Male,18-24,College diploma / Certificate,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,Less than 15,Body building,Home - without equipment,3,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food",I am not interested to try,I don’t think online training is effective,Not more than Rs. 500,Weekly subscription at a price slightly higher than monthly subscription,Important,Important,Important,Important,Important
11-8-2022 19:56:16,Mumbai ,Male,18-24,College diploma / Certificate,Meditation/Mindfulness practice,"Can't afford to spend on gym/classes subscription, Lack of motivation / time",Occasionally / Rarely,Less than 15,General fitness/strength/flexibility/stamina,Home - without equipment,5,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I may try only if I find something very interesting,"I don’t think online training is effective, I don't want to invest in buying any accessories at home, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Very Important,Very Important,Important,Important,Important
11-8-2022 20:01:31,Mumbai ,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Maintaining a proper diet,Daily,More than 60,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,5,3,"Lack of understanding what to eat when and in what proportion, Find it too difficult to follow a routine",I have already tried,I don’t think online training is effective,Rs. 500 - 1000,Annual subscription with price discount benefits,Very Important,Important,Important,Important,Important
11-8-2022 20:07:21,Mumbai ,Female,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Unavailability of a good gym/classes nearby, Lack of motivation / time",4 to 5 days a week,31-45,Weight loss/gain,Park,2,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am not interested to try,"I don’t think online training is effective, I don't have access to right kind of space to practice regularly, Instant feedback is very important to me which I think online delivery wellness/fitness services lack",Rs. 500 - 1000,Annual subscription with price discount benefits,Important,Important,Not so important,Very Important,Important
11-8-2022 20:13:24,Mumbai ,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)","Don't know where and how to start, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",Daily,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,2,5,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, Can't cook at home, I follow a balanced diet routine",I am not interested to try,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Annual subscription with price discount benefits,Neutral,Neutral,Neutral,Neutral,Neutral
11-8-2022 20:23:33,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),31-45,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,3,4,"Lack of understanding what to eat when and in what proportion, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I have already tried,Online Fitness Apps are very good if well structured. Like I use Home Workout App and it's good.,Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Very Important,Important,Not important at all,Important,Important
11-8-2022 20:50:14,Mumbai ,Female,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Can't find a good trainer/expert practitioner, Lack of motivation / time",4 to 5 days a week,31-45,Weight loss/gain,Hybrid - Gym and at Home,4,5,"Temptation for junk food, Can't cook at home, Find it too difficult to follow a routine",I have already tried,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Very Important,Neutral,Neutral
11-8-2022 20:54:44,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,3,5,"Lack of understanding what to eat when and in what proportion, Find it too difficult to follow a routine",I am interested to try out,"I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Annual subscription with price discount benefits,Not so important,Not important at all,Not so important,Not so important,Not important at all
11-8-2022 21:02:03,Mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4 to 5 days a week,Less than 15,General fitness/strength/flexibility/stamina,Home - without equipment,2,5,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't have access to right kind of space to practice regularly",Not more than Rs. 500,Annual subscription with price discount benefits,Very Important,Very Important,Not so important,Neutral,Neutral
11-8-2022 21:08:41,Bangalore,Female,18-24,Undergraduate degree,HIIT exercises from YouTube daily,"Lack of motivation / time, I follow a regular wellness/fitness routine",4 to 5 days a week,15-30,Weight loss/gain,Home - with equipment,3,4,"Temptation for junk food, My schedule doesn't permit regularity in my eating habits",I may try only if I find something very interesting,I don't want to invest in buying any accessories at home,Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Neutral,Neutral,Not so important,Neutral,Neutral
11-8-2022 21:16:50,Mumbai,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",Don't know where and how to start,Daily,Less than 15,Weight loss/gain,Gym / Studio,1,1,Lack of understanding what to eat when and in what proportion,I have already tried,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all
11-8-2022 21:20:03,Mumbai ,Female,18-24,High school,I don't follow any wellness/fitness routine,Lack of motivation / time,Occasionally / Rarely,46-60,Stress/anxiety reduction and/or attain mindfulness,Home - without equipment,2,5,"My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am not interested to try,I don’t think online training is effective,Not more than Rs. 500,Weekly subscription at a price slightly higher than monthly subscription,Very Important,Very Important,Very Important,Very Important,Very Important
11-8-2022 21:24:47,Mumbai,Male,18-24,College diploma / Certificate,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",Lack of motivation / time,Once/twice a week (e.g. weekends),More than 60,Weight loss/gain,Gym / Studio,4,5,Find it too difficult to follow a routine,I am interested to try out,I don’t think online training is effective,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Not so important,Very Important,Important,Very Important,Very Important
11-8-2022 21:30:20,Mumbai ,Male,18-24,College diploma / Certificate,Yoga & breathing exercises,Unavailability of a good gym/classes nearby,4 to 5 days a week,46-60,General fitness/strength/flexibility/stamina,Hybrid - Gym and at Home,4,4,My schedule doesn't permit regularity in my eating habits,I have already tried,Absence of ambience of a gym/studio and fellow members in online mode,Not more than Rs. 500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Not important at all,Not so important,Not important at all,Not important at all
11-8-2022 21:30:56,Mumbai,Female,18-24,College diploma / Certificate,"Light physical activity (running, push-ups, sit-ups etc.)",Lack of motivation / time,Once/twice a week (e.g. weekends),31-45,General fitness/strength/flexibility/stamina,Home - without equipment,3,2,"Lack of understanding what to eat when and in what proportion, Temptation for junk food",I may try only if I find something very interesting,I don’t think online training is effective,Rs. 500 - 1000,Monthly subscription at a price slightly higher than annual subscription,Neutral,Important,Not so important,Important,Important
11-8-2022 21:33:52,Mumbai ,Female,18-24,Undergraduate degree,"Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",I follow a regular wellness/fitness routine,4 to 5 days a week,More than 60,General fitness/strength/flexibility/stamina,Gym / Studio,5,5,"Temptation for junk food, Find it too difficult to follow a routine, I follow a balanced diet routine",I may try only if I find something very interesting,,Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Very Important,Important,Very Important,Very Important
11-8-2022 21:36:29,mumbai,Male,18-24,High school,"Light physical activity (running, push-ups, sit-ups etc.)","Don't know where and how to start, Lack of motivation / time",Once/twice a week (e.g. weekends),15-30,Body building,Home - with equipment,4,4,Temptation for junk food,I have already tried,I don't want to invest in buying any accessories at home,Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Important,Very Important,Neutral,Important,Neutral
11-8-2022 21:43:19,Mumbai,Male,18-24,High school,I don't follow any wellness/fitness routine,Don't know where and how to start,Occasionally / Rarely,Less than 15,General fitness/strength/flexibility/stamina,Home - with equipment,1,3,Lack of understanding what to eat when and in what proportion,I may try only if I find something very interesting,I don’t think online training is effective,Not more than Rs. 500,Annual subscription with price discount benefits,Important,Important,Important,Important,Important
11-8-2022 21:51:01,Mumbai,Female,18-24,Undergraduate degree,Meditation/Mindfulness practice,"Don't know where and how to start, Can't find a good trainer/expert practitioner, Lack of motivation / time",Occasionally / Rarely,46-60,Weight loss/gain,Hybrid - Gym and at Home,4,4,"Lack of understanding what to eat when and in what proportion, Temptation for junk food, My schedule doesn't permit regularity in my eating habits, Find it too difficult to follow a routine",I am interested to try out,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Not more than Rs. 500,Annual subscription with price discount benefits,Important,Very Important,Neutral,Very Important,Very Important
11-8-2022 22:00:34,Kolkata,Female,25-34,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)",Lack of motivation / time,4 to 5 days a week,15-30,General fitness/strength/flexibility/stamina,Home - without equipment,3,5,"Temptation for junk food, Find it too difficult to follow a routine",I am not interested to try,"I don’t think online training is effective, Absence of ambience of a gym/studio and fellow members in online mode",Not more than Rs. 500,Session based subscription - i.e. top up with a number of sessions with flexibility to use those over a period of time at a higher price,Very Important,Very Important,Important,Very Important,Very Important
11-8-2022 22:26:28,Mumbai,Male,45-54,College diploma / Certificate,Yoga & breathing exercises,Can't find a good trainer/expert practitioner,4 to 5 days a week,31-45,Body building,Home - with equipment,3,3,Temptation for junk food,I may try only if I find something very interesting,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 500 - 1000,Weekly subscription at a price slightly higher than monthly subscription,Neutral,Neutral,Not so important,Important,Important
11-8-2022 22:27:19,mumbai,Male,18-24,Undergraduate degree,"Light physical activity (running, push-ups, sit-ups etc.)","Want a personal trainer but can't afford, Can't find a good trainer/expert practitioner",4 to 5 days a week,31-45,General fitness/strength/flexibility/stamina,Home - with equipment,4,4,Temptation for junk food,I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home, I don't have access to right kind of space to practice regularly",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Not so important,Not so important,Important,Important,Very Important
11-8-2022 22:28:00,mumbai,Male,18-24,College diploma / Certificate,Yoga & breathing exercises,"Want a personal trainer but can't afford, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription",Once/twice a week (e.g. weekends),15-30,General fitness/strength/flexibility/stamina,Home - without equipment,4,4,"Can't cook at home, Find it too difficult to follow a routine, I follow a balanced diet routine",I am interested to try out,"Absence of ambience of a gym/studio and fellow members in online mode, I don't want to invest in buying any accessories at home",Rs. 1000-2500,Monthly subscription at a price slightly higher than annual subscription,Neutral,Very Important,Very Important,Very Important,Very Important
